object_name,sample_name,obj. ref
MASTER_WP4_TEAGASC_1__TGS08-29__bin.52,MASTER_WP4_TEAGASC_1__TGS08-29__bin.52,218406/2268/1
MAG_182,MAG_182,218406/2270/1
DeFilippisF_xxxx__DS_1__bin.3,DeFilippisF_xxxx__DS_1__bin.3,218406/2272/1
DeFilippisF_xxxx__DF_32__bin.17,DeFilippisF_xxxx__DF_32__bin.17,218406/2275/1
KharnaiorP_2023__SRR22859377__bin.19,KharnaiorP_2023__SRR22859377__bin.19,218406/2277/1
MASTER_WP4_UNINA_1__PR004_71775__bin.9,MASTER_WP4_UNINA_1__PR004_71775__bin.9,218406/2279/1
MotaGutierrezJ_2021__SRR11602143__bin.2,MotaGutierrezJ_2021__SRR11602143__bin.2,218406/2280/1
MAG_192,MAG_192,218406/2282/1
MASTER_WP4_FFoQSI_1__VB-09-AG__bin.31,MASTER_WP4_FFoQSI_1__VB-09-AG__bin.31,218406/2287/1
WalshL_xxxx__R2__bin.2,WalshL_xxxx__R2__bin.2,218406/2288/1
MAG_343,MAG_343,218406/2289/1
G_517_1B_acetobacter_assembly,G_517_1B_acetobacter_assembly,218406/2290/1
AlvarezOrdonezA_xxxx__Q08-22__bin.21,AlvarezOrdonezA_xxxx__Q08-22__bin.21,218406/2291/1
MASTER_WP4_CSIC_2__P2624__bin.6,MASTER_WP4_CSIC_2__P2624__bin.6,218406/2293/1
CM_UNINA_FFOOD__FFOOD_331__bin.12,CM_UNINA_FFOOD__FFOOD_331__bin.12,218406/2294/1
MAG_312,MAG_312,218406/2298/1
FalardeauJ_2023__SRR20811276__bin.2,FalardeauJ_2023__SRR20811276__bin.2,218406/2300/1
FontanaF_2023__SRR20746861__bin.10,FontanaF_2023__SRR20746861__bin.10,218406/2303/1
AlvarezOrdonezA_xxxx__Q03-29__bin.8,AlvarezOrdonezA_xxxx__Q03-29__bin.8,218406/2305/1
MAG_130,MAG_130,218406/2306/1
MASTER_WP4_TEAGASC_1__TGS10-30__bin.4,MASTER_WP4_TEAGASC_1__TGS10-30__bin.4,218406/2307/1
WalshL_xxxx__S3__bin.1,WalshL_xxxx__S3__bin.1,218406/2310/1
MortensenS_xxxx__WK039-2-L-48h-03E9_S64__bin.11,MortensenS_xxxx__WK039-2-L-48h-03E9_S64__bin.11,218406/2311/1
MASTER_WP4_CSIC_1__P2134_73322__bin.12,MASTER_WP4_CSIC_1__P2134_73322__bin.12,218406/2315/1
YangC_2021__SRR13259377__bin.16,YangC_2021__SRR13259377__bin.16,218406/2316/1
MASTER_WP4_CSIC_1__P2237_73323__bin.8,MASTER_WP4_CSIC_1__P2237_73323__bin.8,218406/2319/1
MASTER_WP4_FFoQSI_2__VB16-22__bin.7,MASTER_WP4_FFoQSI_2__VB16-22__bin.7,218406/2320/1
Wy3_bin.full.20,Wy3_bin.full.20,218406/2323/1
MAG_161,MAG_161,218406/2324/1
FontanaF_2023__SRR20746951__bin.4,FontanaF_2023__SRR20746951__bin.4,218406/2325/1
MASTER_WP4_TEAGASC_1__TGS13-22__bin.7,MASTER_WP4_TEAGASC_1__TGS13-22__bin.7,218406/2326/1
SternesPR_2017__Control1_A_shotgun__bin.2,SternesPR_2017__Control1_A_shotgun__bin.2,218406/2328/1
MASTER_WP4_UNINA_1__PA207_73417__bin.5,MASTER_WP4_UNINA_1__PA207_73417__bin.5,218406/2330/1
YuY_2022__SRR16950697__bin.12,YuY_2022__SRR16950697__bin.12,218406/2332/1
MASTER_WP4_TEAGASC_1__TGS15-30__bin.19,MASTER_WP4_TEAGASC_1__TGS15-30__bin.19,218406/2336/1
KharnaiorP_2023__SRR22859379__bin.7,KharnaiorP_2023__SRR22859379__bin.7,218406/2340/1
LandisEA_2021__SRS5653399__bin.4,LandisEA_2021__SRS5653399__bin.4,218406/2341/1
YasirM_2022__SRR18335012__bin.3,YasirM_2022__SRR18335012__bin.3,218406/2343/1
CrovadoreJ_2017__SRS1919172__bin.12,CrovadoreJ_2017__SRS1919172__bin.12,218406/2345/1
MortensenS_xxxx__WK020-2-L-48h-02E8_S104__bin.1,MortensenS_xxxx__WK020-2-L-48h-02E8_S104__bin.1,218406/2346/1
DeFilippisF_xxxx__DS_71__bin.5,DeFilippisF_xxxx__DS_71__bin.5,218406/2348/1
