sample_accession,experiment_accession,read_count,fastq_ftp,sample_name,filename,description,dna_extracted,fermented,fermentation_day
SAMEA7033836,ERX4261629,477823,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4313058/ERR4313058.fastq.gz,11442.G72717,72717_5x_RG9_01_17512.mzXML,matcha green tea,TRUE,yes,none
SAMEA7033840,ERX4261633,249516,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313062/ERR4313062.fastq.gz,11442.G72723,G72723_BA12_01_18647.mzXML,sliced prosciutto,TRUE,yes,none
SAMEA7033844,ERX4261637,431488,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4313066/ERR4313066.fastq.gz,11442.G72727,G72727_5x_BH9_01_18407.mzXML,Ol Sciur,TRUE,yes,none
SAMEA7033846,ERX4261639,132496,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4313068/ERR4313068.fastq.gz,11442.G72729,G72729_5x_BA10_01_18265.mzXML,memoire,TRUE,yes,none
SAMEA7033847,ERX4261640,382491,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313069/ERR4313069.fastq.gz,11442.G72730,G72730_5x_BD6_01_18303.mzXML,moliterno,TRUE,yes,none
SAMEA7033848,ERX4261641,459544,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313070/ERR4313070.fastq.gz,11442.G72731,G72731_5x_BH10_01_18408.mzXML,Boschetto,TRUE,yes,none
SAMEA7033858,ERX4261651,31440,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313080/ERR4313080.fastq.gz,11442.G72767,G72767_BG7_01_19040.mzXML,Wheat bread,TRUE,yes,none
SAMEA7033860,ERX4261653,714261,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313082/ERR4313082.fastq.gz,11442.G72769,G72769_rerun_BB8_01_19072.mzXML,Gluten free muffin,TRUE,yes,none
SAMEA7033863,ERX4261656,348017,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313085/ERR4313085.fastq.gz,11442.G72777,G72777_5x_BB12_01_18281.mzXML,midnight moon cheese,TRUE,yes,none
SAMEA7033868,ERX4261661,588081,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313090/ERR4313090.fastq.gz,11442.G72792,G72792_5x_BE10_01_18321.mzXML,Sonoma Jack Hot Pepper Jack Cheese,TRUE,yes,none
SAMEA7033886,ERX4261679,18191,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4313108/ERR4313108.fastq.gz,11442.G72823,G72823_1x_RD1_01_18538.mzXML,"Lorimar 2013 Grenache, Syrah, Mourvedre- 13.5% AV",TRUE,yes,red
SAMEA7033894,ERX4261687,12655,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4313116/ERR4313116.fastq.gz,11442.G72833,G72833_1x_RA2_01_18500.mzXML,Ballast Point Fathom beer-7% ABV,TRUE,yes,none
SAMEA7033895,ERX4261688,8078,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4313117/ERR4313117.fastq.gz,11442.G72835,G72835_1x_RE2_01_18553.mzXML,red wine,TRUE,yes,red
SAMEA7033920,ERX4261712,325616,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313141/ERR4313141.fastq.gz,11442.G73464,G73464_5x_BD11_01_18308.mzXML,Garden vegetable cream cheese,TRUE,yes,none
SAMEA7033926,ERX4261718,5827,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4313147/ERR4313147.fastq.gz,11442.G73505,G73505_1x_10ul_RB4_01_18621.mzXML,seattle's best coffee,TRUE,yes,none
SAMEA7033929,ERX4261721,45581,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313150/ERR4313150.fastq.gz,11442.G73522,G73522_1x_RF6_01_18571.mzXML,white peach kombucha - origonic tonic,TRUE,yes,none
SAMEA7033931,ERX4261723,734866,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313152/ERR4313152.fastq.gz,11442.G73524,G73524_1x_RG7_01_18584.mzXML,hibiscus blood orange kombucha - origonic tonic,TRUE,yes,none
SAMEA7033932,ERX4261724,5791,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4313153/ERR4313153.fastq.gz,11442.G73525,G73525_1x_10ul_RC11_01_18537.mzXML,Brew Dr. kombucha Happiness flavor,TRUE,yes,none
SAMEA7033939,ERX4261731,328597,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313160/ERR4313160.fastq.gz,11442.G73649,G73649_5x_BA8_01_18263.mzXML,bianco sardo,TRUE,yes,none
SAMEA7033944,ERX4261736,304413,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313165/ERR4313165.fastq.gz,11442.G73655,G73655_5x_BB9_01_18278.mzXML,Ten Year Sharp Cheddar,TRUE,yes,none
SAMEA7033947,ERX4261739,369443,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4313168/ERR4313168.fastq.gz,11442.G73658,G73658_5x_BE5_01_18316.mzXML,abbaye de belloc,TRUE,yes,none
SAMEA7033951,ERX4261743,378770,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313172/ERR4313172.fastq.gz,11442.G73662,G73662_5x_BF8_01_18333.mzXML,sarro di bufala,TRUE,yes,none
SAMEA7033959,ERX4261751,336506,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313180/ERR4313180.fastq.gz,11442.G73670,G73670_5x_BC11_01_18294.mzXML,good thunder,TRUE,yes,none
SAMEA7033963,ERX4261755,507305,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4313184/ERR4313184.fastq.gz,11442.G73674,G73674_5x_BH4_01_18402.mzXML,epoisse,TRUE,yes,none
SAMEA7033965,ERX4261757,445711,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4313186/ERR4313186.fastq.gz,11442.G73676,G73676_5x_BH3_01_18401.mzXML,delice de bourgogone,TRUE,yes,none
SAMEA7033966,ERX4261758,327214,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4313187/ERR4313187.fastq.gz,11442.G73677,G73677_5x_BD2_01_18299.mzXML,robiola bosina,TRUE,yes,none
SAMEA7033967,ERX4261759,476534,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4313188/ERR4313188.fastq.gz,11442.G73678,G73678_5x_BG6_01_18390.mzXML,brie de meaux,TRUE,yes,none
SAMEA7033968,ERX4261760,538252,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313189/ERR4313189.fastq.gz,11442.G73679,G73679_5x_BB11_01_18280.mzXML,camembert fermier,TRUE,yes,none
SAMEA7033971,ERX4261763,403451,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313192/ERR4313192.fastq.gz,11442.G73683,G73683_5x_BA4_01_18259.mzXML,alp blossom,TRUE,yes,none
SAMEA7033973,ERX4261765,57707,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4313194/ERR4313194.fastq.gz,11442.G73685,G73685_5x_BD5_01_18302.mzXML,boucherondia,TRUE,yes,none
SAMEA7033995,ERX4261787,358233,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4313216/ERR4313216.fastq.gz,11442.G73726,G73726_5x_BF6_01_18331.mzXML,good thunder,TRUE,yes,none
SAMEA7033996,ERX4261788,331872,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4313217/ERR4313217.fastq.gz,11442.G73727,G73727_5x_BC12_01_18295.mzXML,ParmagianoReggiano,TRUE,yes,none
SAMEA7034000,ERX4261792,558412,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313221/ERR4313221.fastq.gz,11442.G73731,G73731_BA4_01_18985.mzXML,chocolate pot de creeme,TRUE,yes,none
SAMEA7034018,ERX4261810,853962,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313239/ERR4313239.fastq.gz,11442.G73958,G73958_BE6_01_19007.mzXML,tortilla with cheddar cheese from burrito,TRUE,yes,none
SAMEA7034029,ERX4261821,446020,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313250/ERR4313250.fastq.gz,11442.G73984,G73984_BH4_01_19051.mzXML,nutella,TRUE,yes,9:00 PM
SAMEA7034050,ERX4261842,332437,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313271/ERR4313271.fastq.gz,11442.G74023,G74023_5x_BE11_01_18322.mzXML,"cheese, gouda with cumin",TRUE,yes,none
SAMEA7034071,ERX4261863,5676,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313292/ERR4313292.fastq.gz,11442.G74050,G74050_1x_RG3_01_18581.mzXML,Koshihikari echigo beer,TRUE,yes,none
SAMEA7034078,ERX4261870,5928,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313299/ERR4313299.fastq.gz,11442.G74076,G74076_1x_RB11_01_18619.mzXML,cider vinegar,TRUE,yes,none
SAMEA7034086,ERX4261878,28859,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4313307/ERR4313307.fastq.gz,11442.G74085,G74085_1x_RE11_01_18562.mzXML,vodka (40%alc/vol),TRUE,yes,none
SAMEA7034088,ERX4261880,988986,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313309/ERR4313309.fastq.gz,11442.G74111,G74111_1x_RE8_01_18559.mzXML,Good Belly Probiotic Juice,TRUE,yes,none
SAMEA7034180,ERX4261972,71967,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313401/ERR4313401.fastq.gz,11442.G75258,G75258_1x_10ul_RC10_01_18536.mzXML,Pierre Frick Wine 1.; Pinot noir 2015,TRUE,yes,red
SAMEA7034243,ERX4262035,717802,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4313464/ERR4313464.fastq.gz,11442.G75718,G75718_BF4_01_19020.mzXML,"pizza, celeste, frozen",TRUE,yes,none
SAMEA7034244,ERX4262036,659377,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313465/ERR4313465.fastq.gz,11442.G75719,G75719_1x_RE6_01_18557.mzXML,jun,TRUE,yes,none
SAMEA7034245,ERX4262037,838574,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4313466/ERR4313466.fastq.gz,11442.G75720,G75720_1x_RH5_01_18597.mzXML,water kefir,TRUE,yes,none
SAMEA7034246,ERX4262038,485224,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4313467/ERR4313467.fastq.gz,11442.G75721,G75721_1x_10ul_RB6_01_18622.mzXML,kvaass,TRUE,yes,none
SAMEA7034250,ERX4262042,1004148,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313471/ERR4313471.fastq.gz,11442.G75725,G75725_1x_RF5_01_18570.mzXML,kvaass,TRUE,yes,none
SAMEA7034251,ERX4262043,646141,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313472/ERR4313472.fastq.gz,11442.G75726,G75726_1x_RD6_01_18543.mzXML,"kefir, home fermented",TRUE,yes,none
SAMEA7034256,ERX4262048,168577,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4313477/ERR4313477.fastq.gz,11442.G75763,G75763_1x_RB9_01_18617.mzXML,berliner weisse beer,TRUE,yes,none
SAMEA7034258,ERX4262050,14156,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313479/ERR4313479.fastq.gz,11442.G75765,G75765_1x_RH7_01_18599.mzXML,warsteiner beer,TRUE,yes,none
SAMEA7034263,ERX4262055,1084243,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4313484/ERR4313484.fastq.gz,11442.G75772,G75772_1x_RF10_01_18575.mzXML,coconut water (harmless harvest w/ probiotics),TRUE,yes,none
SAMEA7034266,ERX4262058,5259,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4313487/ERR4313487.fastq.gz,11442.G75779,G75779_1x_RH8_01_18600.mzXML,sauvignon blanc,TRUE,yes,yellow
SAMEA7034267,ERX4262059,18752,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4313488/ERR4313488.fastq.gz,11442.G75780,G75780_p3_e9_GD3_01_21636.mzXML,pinot noir,TRUE,yes,red
SAMEA7034288,ERX4262080,478703,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313509/ERR4313509.fastq.gz,11442.G78840,G78840_5x_BE12_01_18323.mzXML,Boursin cheese,TRUE,yes,none
SAMEA7034354,ERX4262146,638627,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313575/ERR4313575.fastq.gz,11442.G79239,G79239_BC12_01_18678.mzXML,hard salami,TRUE,yes,none
SAMEA7034359,ERX4262151,429395,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313580/ERR4313580.fastq.gz,11442.G79274,G79274_5x_BA2_01_18256.mzXML,feta cheese,TRUE,yes,none
